origin	site	pop	sample_id	raw_sample_id
AR	S4	S4P1	S4P1-1	S4P1.1
AR	S4	S4P1	S4P1-2	S4P1.2
AR	S4	S4P1	S4P1-3	S4P1.3
AR	S4	S4P1	S4P1-4	S4P1.4
AR	S4	S4P1	S4P1-5	S4P1.5
AR	S4	S4P2	S4P2-1	S4P2.1
AR	S4	S4P2	S4P2-2	S4P2.2
AR	S4	S4P2	S4P2-3	S4P2.3
AR	S4	S4P2	S4P2-4	S4P2.4
AR	S4	S4P2	S4P2-5	S4P2.5
AR	S4	S4P3	S4P3-1	S4P3.1
AR	S4	S4P3	S4P3-2	S4P3.2
AR	S4	S4P3	S4P3-3	S4P3.3
AR	S4	S4P3	S4P3-4	S4P3.4
AR	S4	S4P3	S4P3-5	S4P3.5
AR	S5	S5P1	S5P1-1	S5P1.1
AR	S5	S5P1	S5P1-2	S5P1.2
AR	S5	S5P1	S5P1-3	S5P1.3
AR	S5	S5P1	S5P1-4	S5P1.4
AR	S5	S5P1	S5P1-5	S5P1.5
AR	S5	S5P2	S5P2-1	S5P2.1
AR	S5	S5P2	S5P2-2	S5P2.2
AR	S5	S5P2	S5P2-3	S5P2.3
AR	S5	S5P2	S5P2-4	S5P2.4
AR	S5	S5P2	S5P2-5	S5P2.5
AR	S5	S5P3	S5P3-1	S5P3.1
AR	S5	S5P3	S5P3-2	S5P3.2
AR	S5	S5P3	S5P3-3	S5P3.3
AR	S5	S5P3	S5P3-4	S5P3.4
AR	S5	S5P3	S5P3-5	S5P3.5
AR	S6	S6P1	S6P1-1	S6P1.1
AR	S6	S6P1	S6P1-2	S6P1.2
AR	S6	S6P1	S6P1-3	S6P1.3
AR	S6	S6P1	S6P1-4	S6P1.4
AR	S6	S6P1	S6P1-5	S6P1.5
AR	S6	S6P2	S6P2-1	S6P2.1
AR	S6	S6P2	S6P2-2	S6P2.2
AR	S6	S6P2	S6P2-3	S6P2.3
AR	S6	S6P2	S6P2-4	S6P2.4
AR	S6	S6P2	S6P2-5	S6P2.5
AR	S6	S6P3	S6P3-1	S6P3.1
AR	S6	S6P3	S6P3-2	S6P3.2
AR	S6	S6P3	S6P3-3	S6P3.3
AR	S6	S6P3	S6P3-4	S6P3.4
AR	S6	S6P3	S6P3-5	S6P3.5
AR	S7	S7P1	S7P1-1	S7P1.1
AR	S7	S7P1	S7P1-2	S7P1.2
AR	S7	S7P1	S7P1-3	S7P1.3
AR	S7	S7P1	S7P1-4	S7P1.4
AR	S7	S7P1	S7P1-5	S7P1.5
AR	S7	S7P2	S7P2-1	S7P2.1
AR	S7	S7P2	S7P2-2	S7P2.2
AR	S7	S7P2	S7P2-3	S7P2.3
AR	S7	S7P2	S7P2-4	S7P2.4
AR	S7	S7P2	S7P2-5	S7P2.5
AR	S7	S7P3	S7P3-1	S7P3.1
AR	S7	S7P3	S7P3-2	S7P3.2
AR	S7	S7P3	S7P3-3	S7P3.3
AR	S7	S7P3	S7P3-4	S7P3.4
AR	S7	S7P3	S7P3-5	S7P3.5
AR	S8	S8P1	S8P1-1	S8P1.1
AR	S8	S8P1	S8P1-2	S8P1.2
AR	S8	S8P1	S8P1-3	S8P1.3
AR	S8	S8P1	S8P1-4	S8P1.4
AR	S8	S8P1	S8P1-5	S8P1.5
AR	S8	S8P2	S8P2-1	S8P2.1
AR	S8	S8P2	S8P2-2	S8P2.2
AR	S8	S8P2	S8P2-3	S8P2.3
AR	S8	S8P2	S8P2-4	S8P2.4
AR	S8	S8P2	S8P2-5	S8P2.5
AR	S8	S8P3	S8P3-1	S8P3.1
AR	S8	S8P3	S8P3-2	S8P3.2
AR	S8	S8P3	S8P3-3	S8P3.3
AR	S8	S8P3	S8P3-4	S8P3.4
AR	S8	S8P3	S8P3-5	S8P3.5
AR	S9	S9P1	S9P1-1	S9P1.1
AR	S9	S9P1	S9P1-2	S9P1.2
AR	S9	S9P1	S9P1-3	S9P1.3
AR	S9	S9P1	S9P1-4	S9P1.4
AR	S9	S9P1	S9P1-5	S9P1.5
AR	S9	S9P2	S9P2-1	S9P2.1
AR	S9	S9P2	S9P2-2	S9P2.2
AR	S9	S9P2	S9P2-3	S9P2.3
AR	S9	S9P2	S9P2-4	S9P2.4
AR	S9	S9P2	S9P2-5	S9P2.5
AR	S9	S9P3	S9P3-1	S9P3.1
AR	S9	S9P3	S9P3-2	S9P3.2
AR	S9	S9P3	S9P3-3	S9P3.3
AR	S9	S9P3	S9P3-4	S9P3.4
AR	S9	S9P3	S9P3-5	S9P3.5
CN	SD1	SD1P1	SD1P1-1	SD1P1S1
CN	SD1	SD1P1	SD1P1-2	SD1P1S2
CN	SD1	SD1P1	SD1P1-3	SD1P1S3
CN	SD1	SD1P1	SD1P1-4	SD1P1S4
CN	SD1	SD1P1	SD1P1-5	SD1P1S5
CN	SD1	SD1P2	SD1P2-1	SD1P2S1
CN	SD1	SD1P2	SD1P2-2	SD1P2S2
CN	SD1	SD1P2	SD1P2-3	SD1P2S3
CN	SD1	SD1P2	SD1P2-4	SD1P2S4
CN	SD1	SD1P2	SD1P2-5	SD1P2S5
